PMID,Title,Publication Year,DOI
35161786,Simulation Tool and Online Demonstrator for CDMA-Based Ultrasonic Indoor Localization Systems,2022,10.3390/s22031038
35336478,Sensitivity-Bandwidth Optimization of PMUT with Acoustical Matching Using Finite Element Method,2022,10.3390/s22062307
34506280,Measurement of Pipe and Fluid Properties With a Matrix Array-Based Ultrasonic Clamp-On Flow Meter,2022,10.1109/TUFFC.2021.3111710
35161668,Multi-Mode Ultrasonic Guided Waves Based Damage Detection in L-Bars with Asymmetric Cross-Section with Sum of Multiple Signals Method,2022,10.3390/s22030922
34781117,Numerical and experimental studies on needle impact characteristics in ultrasonic shot peening,2022,10.1016/j.ultras.2021.106634
34474357,Acoustic-resolution photoacoustic microscope based on compact and low-cost delta configuration actuator,2022,10.1016/j.ultras.2021.106549
34649062,Imaging damage in plate waveguides using frequency-domain multiple signal classification (F-MUSIC),2022,10.1016/j.ultras.2021.106607
35273453,Strategies for guided acoustic wave inspection using mobile robots,2022,10.1098/rspa.2021.0762
35271904,Synthesis of various dimensional metal organic frameworks (MOFs) and their hybrid composites for emerging applications - A review,2022,10.1016/j.chemosphere.2022.134184
35245837,Theoretical and experimental investigation of circumferential guided waves in orthotropic annuli,2022,10.1016/j.ultras.2022.106715
35232082,Sim-to-real localization: Environment resilient deep ensemble learning for guided wave damage localization,2022,10.1121/10.0009580
35214419,Evaluation of Ultrasonic Stress Wave Transmission in Cylindrical Roller Bearings for Acoustic Emission Condition Monitoring,2022,10.3390/s22041500
34770495,An Ultrasonic Laminated Transducer for Viscoelastic Media Detection,2021,10.3390/s21217188
33673392,Analysis and Validation of Ultrasonic Probes in Liquid Level Monitoring Systems,2021,10.3390/s21041320
33946276,Design of Piezoelectric Ultrasonic Transducer Based on Doped PDMS,2021,10.3390/s21093123
34300528,Ultrasonic Propagation in Liquid and Ice Water Drops. Effect of Porosity,2021,10.3390/s21144790
35009809,Flaw Detection in Highly Scattering Materials Using a Simple Ultrasonic Sensor Employing Adaptive Template Matching,2021,10.3390/s22010268
34892801,Flexible Piezoelectric Sensors for Miniaturized Sonomyography,2021,10.1109/EMBC46164.2021.9630342
33916496,Estimation of Tissue Attenuation from Ultrasonic B-Mode Images-Spectral-Log-Difference and Method-of-Moments Algorithms Compared,2021,10.3390/s21072548
34203320,Main Uncertainties in the RF Ultrasound Scanning Simulation of the Standard Ultrasound Phantoms,2021,10.3390/s21134420
34884112,An Intelligence Method for Recognizing Multiple Defects in Rail,2021,10.3390/s21238108
34157270,Improved water resource management framework for water sustainability and security,2021,10.1016/j.envres.2021.111527
34450839,An Overview of Autonomous Vehicles Sensors and Their Vulnerability to Weather Conditions,2021,10.3390/s21165397
33917129,A System in Package Based on a Piezoelectric Micromachined Ultrasonic Transducer Matrix for Ranging Applications,2021,10.3390/s21082590
